ProductGroupID,GroupName,Category,Description,ParentGroupID,CreatedDate,UpdatedDate,IsActive,GroupManagerID,Notes
1,Smartphones,Electronics,Group of all smartphone products,0,2022-01-15,2023-02-20,TRUE,101,Includes various brands and models
2,Laptops,Electronics,Group of all laptop products,0,2021-11-05,2023-03-15,TRUE,102,Covers different types and specifications
3,Tablets,Electronics,Group of all tablet products,0,2022-03-10,2023-01-10,TRUE,103,Range from budget to premium tablets
4,Accessories,Electronics,Group of all accessories,0,2021-09-20,2023-04-05,TRUE,104,Includes chargers - cases - and more
5,Home Appliances,Home,Group of all home appliances,0,2021-12-25,2023-05-01,TRUE,105,Includes kitchen and cleaning appliances
6,Audio Devices,Electronics,Group of all audio devices,0,2022-06-18,2023-02-10,TRUE,106,Includes headphones - speakers - and more
7,TVs,Electronics,Group of all television products,0,2022-08-30,2023-03-25,TRUE,107,Range of sizes and brands available
8,Gaming,Electronics,Group of all gaming products,0,2022-02-14,2023-01-05,TRUE,108,Includes consoles and gaming accessories
9,Cameras,Electronics,Group of all camera products,0,2021-07-22,2023-04-12,TRUE,109,Includes digital and action cameras
10,Smart Home Devices,Home,Group of all smart home devices,0,2021-11-30,2023-02-25,TRUE,110,Includes smart lights - thermostats - and more